stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
SPFLDFLDSTN:4,MTD5850,Springfield & Fieldstone (NW Corner),,40.113433,-88.311049,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldfldstn-4,0,
MCNLYERKA:4,MTD0002,McKinley & Eureka (NW Corner),,40.12551167,-88.26275167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mcnlyerka,0,
ARC:2,MTD5762,ARC (North Side),,40.10148620605469,-88.23605499999998,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/arc,0,
MHRYLYN2:1,MTD7331,McHenry & Lynn St. #2 (NE Corner),,40.08783833,-88.19762333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mhrylyn2,0,
FLWLY:3,MTD3444,Florida & Wiley (SW Corner),,40.09827833,-88.19792167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flwly,0,
CLTNIRVN:3,MTD5023,Clayton & Irvine (SW Corner),,40.12235667,-88.29497,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnirvn,0,
BRDWLKMJR:2,MTD2212,Boardwalk & Meijer Dr. (SE Corner),,40.146315,-88.26197333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/brdwlkmjr,0,
FLVIN:2,MTD4306,Florida & Vine (SE Corner),,40.09823500000001,-88.20482,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flvin,0,
PSPCTFRNS:2,MTD0314,Prospect & Francis (SE Corner),,40.13084833,-88.25787167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctfrns,0,
PSPCTLNSH:2,MTD3261,Prospect & Lincolnshire (SE Corner),,40.09583333,-88.25753,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctlnsh,0,
ADRSNCO:2,MTD5667,Anderson & Colorado (SE Corner),,40.094605,-88.19861333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ardsnco,0,
BNFLDSLYN:4,MTD2216,Brownfield & Sharlyn (West Side),,40.13547667000001,-88.17609,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bnfldslyn,0,
FLRACE:3,MTD1672,Florida & Race (SW Corner),,40.09824833,-88.209795,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/flrace,0,
JOHNFRANK:1,MTD7244,John & Frank (NE Corner),,40.109275,-88.278553,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnfrank,0,
CLTNHTG:2,MTD2370,Clayton & Heritage (SE Corner),,40.125506,-88.28701,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnhtg,0,
CLTNHGN:2,MTD5561,Clayton & Higgins (East Side),,40.12461600000001,-88.28700499999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnhgn,0,
ANTWTRS:4,MTD1256,Anthony & Walters (NW Corner),,40.1392888889,-88.273236111111,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/antwtrs,0,
JOHNWILS:1,MTD5072,John & Willis (NE Corner),,40.10903333000001,-88.26002167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnwils,0,
MLKNIRNWD:2,MTD3077,Mullikin & Ironwood (SE Corner),,40.08678,-88.32080833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mlknirnwd,0,
CMBLCRT:2,MTD2516,Campbell & Curt (SE Corner),,40.14004,-88.26954499999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cmblcrt,0,
FOXKLWD:2,MTD6612,Fox & Knollwood (SE Corner),,40.08619333,-88.24943833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/foxklwd,0,
CLTNHV:4,MTD7570,Clayton & High View (NW Corner),,40.12691116,-88.28705596923828,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cltnhv,0,
FOXSTE:3,MTD0700,Fox & State (South Side),,40.094372,-88.246761,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/foxste,0,
PSPCTBDMR:3,MTD3103,Prospect & Broadmoor (SW Corner),,40.09265167,-88.25775333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctbdmr,0,
LRMNBRTL:4,MTD3940,Lierman & Bartell (West Side),,40.10809900000001,-88.188777,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/lrmnbrtl-4,0,
GLNSLBY:3,MTD2093,Galen & Salisbury (SW Corner),,40.07803726196289,-88.25830078125,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/glnslby,0,
SLVRFLCHR:3,MTD5144,Silver & Fletcher (SW Corner),,40.091445,-88.19320833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/slvrflchr,0,
UNIELM:3,MTD0452,University & Elm (SW Corner),,40.11624667,-88.25017667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unielm,0,
